Order_ID,Order_Date,Customer_ID,Product_ID,Region,Sales_Channel,Quantity,Unit_Price,Discount,Unit_Cost,Gross_Sales,Discount_Amount,Revenue,COGS,Gross_Profit,Gross_Margin
ORD00001,2025-04-07,CUS0844,PROD027,South,Online,1,289.19,0.1,150.38,289.19,28.92,260.27,150.38,109.89,0.42221539170861033
ORD00002,2023-07-11,CUS0863,PROD020,South,Store,10,1143.81,0.05,686.29,11438.1,571.91,10866.19,6862.9,4003.29,0.36841708087195235
ORD00003,2025-11-24,CUS0372,PROD003,North,Online,3,1745.79,0.1,995.1,5237.37,523.74,4713.63,2985.3,1728.33,0.36666645451594626
ORD00004,2023-01-14,CUS0874,PROD022,South,Store,8,293.35,0.1,143.74,2346.8,234.68,2112.12,1149.92,962.2,0.45556123705092516
ORD00005,2025-10-06,CUS0898,PROD039,South,Online,4,11586.58,0.2,8110.61,46346.32,9269.26,37077.06,32442.44,4634.62,0.12499966286431557
ORD00006,2025-06-11,CUS0174,PROD022,West,Online,2,295.32,0.0,144.71,590.64,0.0,590.64,289.42,301.22,0.5099891642963565
ORD00007,2025-02-06,CUS0919,PROD026,North,Store,13,523.66,0.2,288.01,6807.58,1361.52,5446.06,3744.13,1701.93,0.31250665618814333
ORD00008,2024-01-29,CUS0134,PROD026,North,Online,2,518.09,0.1,284.95,1036.18,103.62,932.56,569.9,362.66,0.3888865059620829
ORD00009,2025-03-25,CUS0875,PROD002,North,Store,2,2935.86,0.1,1761.52,5871.72,587.17,5284.55,3523.04,1761.51,0.3333320717941925
ORD00010,2024-07-18,CUS0944,PROD037,North,Store,8,930.07,0.15,539.44,7440.56,1116.08,6324.48,4315.52,2008.96,0.31764824934223845
ORD00011,2023-05-27,CUS0615,PROD047,West,Store,4,916.52,0.1,522.42,3666.08,366.61,3299.47,2089.68,1209.79,0.3666619184293235
ORD00012,2024-03-25,CUS0818,PROD043,North,Online,3,790.36,0.05,418.89,2371.08,118.55,2252.53,1256.67,995.86,0.4421073193253808
ORD00013,2024-10-24,CUS0866,PROD010,South,Online,15,8578.89,0.05,5490.49,128683.35,6434.17,122249.18,82357.35,39891.83,0.3263157266167348
ORD00014,2024-10-06,CUS0641,PROD013,North,Store,2,8053.74,0.05,5396.01,16107.48,805.37,15302.11,10792.02,4510.09,0.2947364775184599
ORD00015,2023-10-29,CUS0362,PROD012,South,Store,2,12171.42,0.05,8276.57,24342.84,1217.14,23125.7,16553.14,6572.56,0.28421020769101046
ORD00016,2025-05-27,CUS0451,PROD034,North,Online,1,683.39,0.1,375.86,683.39,68.34,615.05,375.86,239.19,0.38889521177140074
ORD00017,2025-10-24,CUS0957,PROD031,North,Online,8,1889.56,0.15,1171.53,15116.48,2267.47,12849.01,9372.24,3476.77,0.27058660550501556
ORD00018,2025-07-15,CUS0720,PROD015,South,Online,1,4346.99,0.0,2782.07,4346.99,0.0,4346.99,2782.07,1564.92,0.36000082815925505
ORD00019,2024-05-29,CUS0807,PROD005,South,Store,7,2492.01,0.15,1545.05,17444.07,2616.61,14827.46,10815.35,4012.11,0.2705864659220123
ORD00020,2024-06-30,CUS0988,PROD005,South,Store,15,2403.64,0.05,1490.26,36054.6,1802.73,34251.87,22353.9,11897.97,0.347367019669291
ORD00021,2024-03-30,CUS0902,PROD023,South,Online,7,173.85,0.05,90.4,1216.95,60.85,1156.1,632.8,523.3,0.4526425049736182
ORD00022,2025-10-28,CUS0981,PROD022,South,Store,13,307.86,0.15,150.85,4002.18,600.33,3401.85,1961.05,1440.8,0.4235342534209327
ORD00023,2023-12-28,CUS0963,PROD022,South,Store,15,300.23,0.15,147.11,4503.45,675.52,3827.93,2206.65,1621.28,0.4235396154057154
ORD00024,2023-01-02,CUS0260,PROD018,North,Store,1,5732.34,0.1,3840.67,5732.34,573.23,5159.11,3840.67,1318.44,0.2555557063136859
ORD00025,2024-09-21,CUS0810,PROD020,West,Online,8,1183.56,0.0,710.14,9468.48,0.0,9468.48,5681.12,3787.36,0.39999662036567646
ORD00026,2025-09-22,CUS0408,PROD044,North,Store,1,3834.26,0.1,2338.9,3834.26,383.43,3450.83,2338.9,1111.93,0.32222103088242543
ORD00027,2025-10-27,CUS0922,PROD033,East,Online,14,6483.93,0.1,4344.23,90775.02,9077.5,81697.52,60819.22,20878.3,0.25555610500783865
ORD00028,2025-10-31,CUS0281,PROD008,South,Online,3,7283.85,0.1,4515.99,21851.55,2185.16,19666.39,13547.97,6118.42,0.31111047833384775
ORD00029,2025-02-03,CUS0896,PROD036,South,Store,13,1187.88,0.1,665.21,15442.44,1544.24,13898.2,8647.73,5250.47,0.3777805759019153
ORD00030,2025-03-28,CUS0673,PROD035,South,Online,8,573.84,0.0,309.87,4590.72,0.0,4590.72,2478.96,2111.76,0.4600062735257215
ORD00031,2025-12-02,CUS0801,PROD021,South,Online,4,255.2,0.05,122.5,1020.8,51.04,969.76,490.0,479.76,0.4947203431776934
ORD00032,2025-09-21,CUS0390,PROD010,West,Online,1,8764.2,0.05,5609.09,8764.2,438.21,8325.99,5609.09,2716.9,0.32631554926200973
ORD00033,2025-11-09,CUS0365,PROD029,East,Store,1,181.28,0.1,97.89,181.28,18.13,163.15,97.89,65.26,0.4
ORD00034,2024-10-04,CUS0414,PROD004,East,Online,2,1439.54,0.05,791.75,2879.08,143.95,2735.13,1583.5,1151.63,0.42105128458245134
ORD00035,2023-09-11,CUS0602,PROD006,West,Store,7,2101.92,0.15,1219.11,14713.44,2207.02,12506.42,8533.77,3972.65,0.31764885554779065
ORD00036,2025-02-11,CUS0104,PROD048,West,Store,3,2882.78,0.05,1816.15,8648.34,432.42,8215.92,5448.45,2767.47,0.3368423743171793
ORD00037,2024-05-26,CUS0324,PROD023,South,Online,2,176.01,0.0,91.53,352.02,0.0,352.02,183.06,168.96,0.4799727288222261
ORD00038,2023-07-20,CUS0947,PROD046,East,Store,3,3624.59,0.2,2319.74,10873.77,2174.75,8699.02,6959.22,1739.8,0.19999954017808902
ORD00039,2024-04-29,CUS0087,PROD039,North,Store,3,12511.64,0.0,8758.15,37534.92,0.0,37534.92,26274.45,11260.47,0.2999998401488534
ORD00040,2023-11-27,CUS0283,PROD037,East,Online,2,891.09,0.05,516.83,1782.18,89.11,1693.07,1033.66,659.41,0.3894759224367569
ORD00041,2024-11-03,CUS0280,PROD047,South,Online,1,925.57,0.05,527.57,925.57,46.28,879.29,527.57,351.72,0.40000454912486216
ORD00042,2025-10-29,CUS0485,PROD046,West,Store,3,3519.52,0.1,2252.49,10558.56,1055.86,9502.7,6757.47,2745.23,0.2888894735180527
ORD00043,2024-11-25,CUS0264,PROD005,North,Store,2,2519.8,0.0,1562.28,5039.6,0.0,5039.6,3124.56,1915.04,0.37999841257242634
ORD00044,2025-01-07,CUS0104,PROD012,West,Online,2,11972.15,0.0,8141.06,23944.3,0.0,23944.3,16282.12,7662.18,0.32000016705437206
ORD00045,2023-11-10,CUS0097,PROD024,South,Store,3,239.21,0.0,122.0,717.63,0.0,717.63,366.0,351.63,0.48998787676100497
ORD00046,2024-05-19,CUS0862,PROD050,North,Online,5,1558.54,0.2,872.78,7792.7,1558.54,6234.16,4363.9,1870.26,0.3000019248784119
ORD00047,2025-12-06,CUS0793,PROD013,West,Online,1,8066.94,0.0,5404.85,8066.94,0.0,8066.94,5404.85,2662.09,0.32999997520745167
ORD00048,2025-10-05,CUS0538,PROD009,South,Online,2,4416.38,0.0,2605.66,8832.76,0.0,8832.76,5211.32,3621.44,0.41000095100512185
ORD00049,2023-12-23,CUS0637,PROD050,West,Online,5,1537.78,0.15,861.16,7688.9,1153.33,6535.57,4305.8,2229.77,0.34117452647588503
ORD00050,2024-03-12,CUS0016,PROD036,North,Store,3,1148.79,0.1,643.32,3446.37,344.64,3101.73,1929.96,1171.77,0.3777794972483098
ORD00051,2025-01-26,CUS0731,PROD005,South,Store,3,2594.82,0.1,1608.79,7784.46,778.45,7006.01,4826.37,2179.64,0.31111003267194876
